TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_PARAMS;TASK_DATE_TIME;TASK_EVENT_TYPE;TASK_[STARTED|TERMINATED]_EPOCH;
"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"2020-07-07 12:20:40";"STARTED";"1594117240";
"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"2020-07-07 12:20:40";"TERMINATED";"1594117240";
"build-doxygen";"check-all-src-dirs";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-doxygen.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/doxygen-Release_1_8_18/";"2020-07-07 12:17:43";"STARTED";"1594117063";
"build-doxygen";"check-all-src-dirs";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-doxygen.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/doxygen-Release_1_8_18/";"2020-07-07 12:18:28";"TERMINATED";"1594117108";
"build-git";"build-doxygen";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-git.sh";"/tmp/makbet/examples/02.toolchain-complex/git/git-2.27.0/";"2020-07-07 12:18:28";"STARTED";"1594117108";
"build-git";"build-doxygen";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-git.sh";"/tmp/makbet/examples/02.toolchain-complex/git/git-2.27.0/";"2020-07-07 12:19:05";"TERMINATED";"1594117145";
"build-kcov";"build-git";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-kcov.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/kcov-38/";"2020-07-07 12:19:05";"STARTED";"1594117145";
"build-kcov";"build-git";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-kcov.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/kcov-38/";"2020-07-07 12:19:21";"TERMINATED";"1594117161";
"build-make";"build-kcov";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-make.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3/";"2020-07-07 12:19:21";"STARTED";"1594117161";
"build-make";"build-kcov";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-make.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3/";"2020-07-07 12:19:32";"TERMINATED";"1594117172";
"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-python.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4/";"2020-07-07 12:19:32";"STARTED";"1594117173";
"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-python.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4/";"2020-07-07 12:20:40";"TERMINATED";"1594117240";
"check-all-src-dirs";"unpack-doxygen-src unpack-git-src unpack-kcov-src unpack-make-src unpack-python-src";"/home/user/makbet/lib/tasks/common/check-dirs.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/doxygen-Release_1_8_18/ /tmp/makbet/examples/02.toolchain-complex/git/git-2.27.0/ /tmp/makbet/examples/02.toolchain-complex/kcov/kcov-38/ /tmp/makbet/examples/02.toolchain-complex/make/make-4.3/ /tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4/";"2020-07-07 12:17:43";"STARTED";"1594117063";
"check-all-src-dirs";"unpack-doxygen-src unpack-git-src unpack-kcov-src unpack-make-src unpack-python-src";"/home/user/makbet/lib/tasks/common/check-dirs.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/doxygen-Release_1_8_18/ /tmp/makbet/examples/02.toolchain-complex/git/git-2.27.0/ /tmp/makbet/examples/02.toolchain-complex/kcov/kcov-38/ /tmp/makbet/examples/02.toolchain-complex/make/make-4.3/ /tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4/";"2020-07-07 12:17:43";"TERMINATED";"1594117063";
"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/doxygen/doxygen/archive/Release_1_8_18.zip /tmp/makbet/examples/02.toolchain-complex/doxygen/Release_1_8_18.zip";"2020-07-07 12:17:14";"STARTED";"1594117034";
"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/doxygen/doxygen/archive/Release_1_8_18.zip /tmp/makbet/examples/02.toolchain-complex/doxygen/Release_1_8_18.zip";"2020-07-07 12:17:18";"TERMINATED";"1594117038";
"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/git/git/archive/v2.27.0.zip /tmp/makbet/examples/02.toolchain-complex/git/v2.27.0.zip";"2020-07-07 12:17:19";"STARTED";"1594117039";
"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/git/git/archive/v2.27.0.zip /tmp/makbet/examples/02.toolchain-complex/git/v2.27.0.zip";"2020-07-07 12:17:26";"TERMINATED";"1594117046";
"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/02.toolchain-complex/kcov/38.zip";"2020-07-07 12:17:26";"STARTED";"1594117046";
"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/02.toolchain-complex/kcov/38.zip";"2020-07-07 12:17:28";"TERMINATED";"1594117048";
"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-complex/make/make-4.3.tar.gz";"2020-07-07 12:17:28";"STARTED";"1594117048";
"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-complex/make/make-4.3.tar.gz";"2020-07-07 12:17:30";"TERMINATED";"1594117050";
"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://www.python.org/ftp/python/3.9.0/Python-3.9.0b4.tar.xz /tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4.tar.xz";"2020-07-07 12:17:30";"STARTED";"1594117050";
"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://www.python.org/ftp/python/3.9.0/Python-3.9.0b4.tar.xz /tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4.tar.xz";"2020-07-07 12:17:41";"TERMINATED";"1594117061";
"INIT";"";"";"";"2020-07-07 12:17:14";"STARTED";"1594117034";
"INIT";"";"";"";"2020-07-07 12:17:14";"TERMINATED";"1594117034";
"prepare-workdir-structure";"INIT";"/home/user/makbet/lib/tasks/common/create-dir-structure.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen /tmp/makbet/examples/02.toolchain-complex/git /tmp/makbet/examples/02.toolchain-complex/kcov /tmp/makbet/examples/02.toolchain-complex/make /tmp/makbet/examples/02.toolchain-complex/python";"2020-07-07 12:17:14";"STARTED";"1594117034";
"prepare-workdir-structure";"INIT";"/home/user/makbet/lib/tasks/common/create-dir-structure.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen /tmp/makbet/examples/02.toolchain-complex/git /tmp/makbet/examples/02.toolchain-complex/kcov /tmp/makbet/examples/02.toolchain-complex/make /tmp/makbet/examples/02.toolchain-complex/python";"2020-07-07 12:17:14";"TERMINATED";"1594117034";
"print-doxygen-version";"build-doxygen";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/doxygen-Release_1_8_18/build/bin/doxygen --version";"2020-07-07 12:20:40";"STARTED";"1594117240";
"print-doxygen-version";"build-doxygen";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/doxygen-Release_1_8_18/build/bin/doxygen --version";"2020-07-07 12:20:40";"TERMINATED";"1594117240";
"print-git-version";"build-git";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/git/git-2.27.0/git --version";"2020-07-07 12:20:41";"STARTED";"1594117241";
"print-git-version";"build-git";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/git/git-2.27.0/git --version";"2020-07-07 12:20:41";"TERMINATED";"1594117241";
"print-kcov-version";"build-kcov";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/kcov-38/build/src/kcov --version";"2020-07-07 12:20:41";"STARTED";"1594117241";
"print-kcov-version";"build-kcov";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/kcov-38/build/src/kcov --version";"2020-07-07 12:20:41";"TERMINATED";"1594117241";
"print-make-version";"build-make";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3/make --version";"2020-07-07 12:20:41";"STARTED";"1594117241";
"print-make-version";"build-make";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3/make --version";"2020-07-07 12:20:41";"TERMINATED";"1594117241";
"print-python-version";"build-python";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4/python -V";"2020-07-07 12:20:41";"STARTED";"1594117241";
"print-python-version";"build-python";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4/python -V";"2020-07-07 12:20:41";"TERMINATED";"1594117241";
"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/Release_1_8_18.zip /tmp/makbet/examples/02.toolchain-complex/doxygen/";"2020-07-07 12:17:18";"STARTED";"1594117038";
"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/Release_1_8_18.zip /tmp/makbet/examples/02.toolchain-complex/doxygen/";"2020-07-07 12:17:18";"TERMINATED";"1594117038";
"unpack-git-src";"fetch-git-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/git/v2.27.0.zip /tmp/makbet/examples/02.toolchain-complex/git/";"2020-07-07 12:17:26";"STARTED";"1594117046";
"unpack-git-src";"fetch-git-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/git/v2.27.0.zip /tmp/makbet/examples/02.toolchain-complex/git/";"2020-07-07 12:17:26";"TERMINATED";"1594117046";
"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/38.zip /tmp/makbet/examples/02.toolchain-complex/kcov/";"2020-07-07 12:17:28";"STARTED";"1594117048";
"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/38.zip /tmp/makbet/examples/02.toolchain-complex/kcov/";"2020-07-07 12:17:28";"TERMINATED";"1594117048";
"unpack-make-src";"fetch-make-src";"/home/user/makbet/lib/tasks/common/uncompress-tgz-file.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-complex/make/";"2020-07-07 12:17:30";"STARTED";"1594117050";
"unpack-make-src";"fetch-make-src";"/home/user/makbet/lib/tasks/common/uncompress-tgz-file.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-complex/make/";"2020-07-07 12:17:30";"TERMINATED";"1594117050";
"unpack-python-src";"fetch-python-src";"/home/user/makbet/lib/tasks/common/uncompress-txz-file.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4.tar.xz /tmp/makbet/examples/02.toolchain-complex/python/";"2020-07-07 12:17:41";"STARTED";"1594117061";
"unpack-python-src";"fetch-python-src";"/home/user/makbet/lib/tasks/common/uncompress-txz-file.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4.tar.xz /tmp/makbet/examples/02.toolchain-complex/python/";"2020-07-07 12:17:43";"TERMINATED";"1594117063";
