TASK_ID;TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_EVENT_TYPE;TASK_DATE_TIME_[STARTED|TERMINATED];
"1";"@01-INIT";"";"";"";"STARTED";"2020-09-01 00:15:25.363725910";
"1";"@01-INIT";"";"";"";"TERMINATED";"2020-09-01 00:15:25.380946139";
"10";"unpack-git-src";"fetch-git-src";"/home/user/makbet/examples/lib/tasks/common/extract-zip-file";"/tmp/makbet/examples/03.toolchain-advanced/git/v2.33.0.zip /tmp/makbet/examples/03.toolchain-advanced/git/";"STARTED";"2020-09-01 00:15:36.762590757";
"10";"unpack-git-src";"fetch-git-src";"/home/user/makbet/examples/lib/tasks/common/extract-zip-file";"/tmp/makbet/examples/03.toolchain-advanced/git/v2.33.0.zip /tmp/makbet/examples/03.toolchain-advanced/git/";"TERMINATED";"2020-09-01 00:15:37.159783585";
"11";"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/examples/lib/tasks/common/extract-zip-file";"/tmp/makbet/examples/03.toolchain-advanced/kcov/38.zip /tmp/makbet/examples/03.toolchain-advanced/kcov/";"STARTED";"2020-09-01 00:15:38.449796732";
"11";"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/examples/lib/tasks/common/extract-zip-file";"/tmp/makbet/examples/03.toolchain-advanced/kcov/38.zip /tmp/makbet/examples/03.toolchain-advanced/kcov/";"TERMINATED";"2020-09-01 00:15:38.496981622";
"12";"unpack-make-src";"fetch-make-src";"/home/user/makbet/examples/lib/tasks/common/extract-tgz-file";"/tmp/makbet/examples/03.toolchain-advanced/make/make-4.3.tar.gz /tmp/makbet/examples/03.toolchain-advanced/make/";"STARTED";"2020-09-01 00:15:41.185913423";
"12";"unpack-make-src";"fetch-make-src";"/home/user/makbet/examples/lib/tasks/common/extract-tgz-file";"/tmp/makbet/examples/03.toolchain-advanced/make/make-4.3.tar.gz /tmp/makbet/examples/03.toolchain-advanced/make/";"TERMINATED";"2020-09-01 00:15:41.290380810";
"13";"unpack-python-src";"fetch-python-src";"/home/user/makbet/examples/lib/tasks/common/extract-txz-file";"/tmp/makbet/examples/03.toolchain-advanced/python/Python-3.9.6.tar.xz /tmp/makbet/examples/03.toolchain-advanced/python/";"STARTED";"2020-09-01 00:15:54.117679604";
"13";"unpack-python-src";"fetch-python-src";"/home/user/makbet/examples/lib/tasks/common/extract-txz-file";"/tmp/makbet/examples/03.toolchain-advanced/python/Python-3.9.6.tar.xz /tmp/makbet/examples/03.toolchain-advanced/python/";"TERMINATED";"2020-09-01 00:15:55.652970476";
"14";"check-all-src-dirs";"unpack-doxygen-src unpack-git-src unpack-kcov-src unpack-make-src unpack-python-src";"/home/user/makbet/examples/lib/tasks/common/check-dirs";"/tmp/makbet/examples/03.toolchain-advanced/doxygen/doxygen-Release_1_9_2/ /tmp/makbet/examples/03.toolchain-advanced/git/git-2.33.0/ /tmp/makbet/examples/03.toolchain-advanced/kcov/kcov-38/ /tmp/makbet/examples/03.toolchain-advanced/make/make-4.3/ /tmp/makbet/examples/03.toolchain-advanced/python/Python-3.9.6/";"STARTED";"2020-09-01 00:15:55.746994094";
"14";"check-all-src-dirs";"unpack-doxygen-src unpack-git-src unpack-kcov-src unpack-make-src unpack-python-src";"/home/user/makbet/examples/lib/tasks/common/check-dirs";"/tmp/makbet/examples/03.toolchain-advanced/doxygen/doxygen-Release_1_9_2/ /tmp/makbet/examples/03.toolchain-advanced/git/git-2.33.0/ /tmp/makbet/examples/03.toolchain-advanced/kcov/kcov-38/ /tmp/makbet/examples/03.toolchain-advanced/make/make-4.3/ /tmp/makbet/examples/03.toolchain-advanced/python/Python-3.9.6/";"TERMINATED";"2020-09-01 00:15:55.768301800";
"15";"build-doxygen";"check-all-src-dirs";"/home/user/makbet/examples/lib/tasks/build-scripts/build-doxygen";"/tmp/makbet/examples/03.toolchain-advanced/doxygen/doxygen-Release_1_9_2/";"STARTED";"2020-09-01 00:15:55.879586649";
"15";"build-doxygen";"check-all-src-dirs";"/home/user/makbet/examples/lib/tasks/build-scripts/build-doxygen";"/tmp/makbet/examples/03.toolchain-advanced/doxygen/doxygen-Release_1_9_2/";"TERMINATED";"2020-09-01 00:16:55.244285876";
"16";"build-git";"build-doxygen";"/home/user/makbet/examples/lib/tasks/build-scripts/build-git";"/tmp/makbet/examples/03.toolchain-advanced/git/git-2.33.0/";"STARTED";"2020-09-01 00:16:55.349429384";
"16";"build-git";"build-doxygen";"/home/user/makbet/examples/lib/tasks/build-scripts/build-git";"/tmp/makbet/examples/03.toolchain-advanced/git/git-2.33.0/";"TERMINATED";"2020-09-01 00:17:36.356435933";
"17";"build-kcov";"build-git";"/home/user/makbet/examples/lib/tasks/build-scripts/build-kcov";"/tmp/makbet/examples/03.toolchain-advanced/kcov/kcov-38/";"STARTED";"2020-09-01 00:17:36.460110819";
"17";"build-kcov";"build-git";"/home/user/makbet/examples/lib/tasks/build-scripts/build-kcov";"/tmp/makbet/examples/03.toolchain-advanced/kcov/kcov-38/";"TERMINATED";"2020-09-01 00:17:56.344556955";
"18";"build-make";"build-kcov";"/home/user/makbet/examples/lib/tasks/build-scripts/build-make";"/tmp/makbet/examples/03.toolchain-advanced/make/make-4.3/";"STARTED";"2020-09-01 00:17:56.454590637";
"18";"build-make";"build-kcov";"/home/user/makbet/examples/lib/tasks/build-scripts/build-make";"/tmp/makbet/examples/03.toolchain-advanced/make/make-4.3/";"TERMINATED";"2020-09-01 00:18:09.236648381";
"19";"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/build-scripts/build-python";"/tmp/makbet/examples/03.toolchain-advanced/python/Python-3.9.6/";"STARTED";"2020-09-01 00:18:09.374364270";
"19";"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/build-scripts/build-python";"/tmp/makbet/examples/03.toolchain-advanced/python/Python-3.9.6/";"TERMINATED";"2020-09-01 00:19:31.510922981";
"21";"print-doxygen-version";"build-doxygen";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/03.toolchain-advanced/doxygen/doxygen-Release_1_9_2/build/bin/doxygen --version";"STARTED";"2020-09-01 00:19:31.792762181";
"21";"print-doxygen-version";"build-doxygen";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/03.toolchain-advanced/doxygen/doxygen-Release_1_9_2/build/bin/doxygen --version";"TERMINATED";"2020-09-01 00:19:31.823599126";
"22";"print-git-version";"build-git";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/03.toolchain-advanced/git/git-2.33.0/git --version";"STARTED";"2020-09-01 00:19:31.958118020";
"22";"print-git-version";"build-git";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/03.toolchain-advanced/git/git-2.33.0/git --version";"TERMINATED";"2020-09-01 00:19:31.982362956";
"23";"print-kcov-version";"build-kcov";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/03.toolchain-advanced/kcov/kcov-38/build/src/kcov --version";"STARTED";"2020-09-01 00:19:32.095456127";
"23";"print-kcov-version";"build-kcov";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/03.toolchain-advanced/kcov/kcov-38/build/src/kcov --version";"TERMINATED";"2020-09-01 00:19:32.130469641";
"24";"print-make-version";"build-make";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/03.toolchain-advanced/make/make-4.3/make --version";"STARTED";"2020-09-01 00:19:32.241889043";
"24";"print-make-version";"build-make";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/03.toolchain-advanced/make/make-4.3/make --version";"TERMINATED";"2020-09-01 00:19:32.265347553";
"25";"print-python-version";"build-python";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/03.toolchain-advanced/python/Python-3.9.6/python -V";"STARTED";"2020-09-01 00:19:32.362776752";
"25";"print-python-version";"build-python";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/03.toolchain-advanced/python/Python-3.9.6/python -V";"TERMINATED";"2020-09-01 00:19:32.387725971";
"26";"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"STARTED";"2020-09-01 00:19:31.648328404";
"26";"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"TERMINATED";"2020-09-01 00:19:31.672753084";
"3";"prepare-workdir-structure";"@01-INIT";"/home/user/makbet/examples/lib/tasks/common/create-dir-structure";"/tmp/makbet/examples/03.toolchain-advanced/doxygen /tmp/makbet/examples/03.toolchain-advanced/git /tmp/makbet/examples/03.toolchain-advanced/kcov /tmp/makbet/examples/03.toolchain-advanced/make /tmp/makbet/examples/03.toolchain-advanced/python";"STARTED";"2020-09-01 00:15:25.474359221";
"3";"prepare-workdir-structure";"@01-INIT";"/home/user/makbet/examples/lib/tasks/common/create-dir-structure";"/tmp/makbet/examples/03.toolchain-advanced/doxygen /tmp/makbet/examples/03.toolchain-advanced/git /tmp/makbet/examples/03.toolchain-advanced/kcov /tmp/makbet/examples/03.toolchain-advanced/make /tmp/makbet/examples/03.toolchain-advanced/python";"TERMINATED";"2020-09-01 00:15:25.496171377";
"4";"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/doxygen/doxygen/archive/Release_1_9_2.zip /tmp/makbet/examples/03.toolchain-advanced/doxygen/Release_1_9_2.zip";"STARTED";"2020-09-01 00:15:25.588462069";
"4";"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/doxygen/doxygen/archive/Release_1_9_2.zip /tmp/makbet/examples/03.toolchain-advanced/doxygen/Release_1_9_2.zip";"TERMINATED";"2020-09-01 00:15:29.795363668";
"5";"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/git/git/archive/v2.33.0.zip /tmp/makbet/examples/03.toolchain-advanced/git/v2.33.0.zip";"STARTED";"2020-09-01 00:15:30.216232621";
"5";"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/git/git/archive/v2.33.0.zip /tmp/makbet/examples/03.toolchain-advanced/git/v2.33.0.zip";"TERMINATED";"2020-09-01 00:15:36.666698162";
"6";"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/03.toolchain-advanced/kcov/38.zip";"STARTED";"2020-09-01 00:15:37.253109034";
"6";"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/03.toolchain-advanced/kcov/38.zip";"TERMINATED";"2020-09-01 00:15:38.340522873";
"7";"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/03.toolchain-advanced/make/make-4.3.tar.gz";"STARTED";"2020-09-01 00:15:38.591575439";
"7";"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/03.toolchain-advanced/make/make-4.3.tar.gz";"TERMINATED";"2020-09-01 00:15:41.018420270";
"8";"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://www.python.org/ftp/python/3.9.6/Python-3.9.6.tar.xz /tmp/makbet/examples/03.toolchain-advanced/python/Python-3.9.6.tar.xz";"STARTED";"2020-09-01 00:15:41.387462294";
"8";"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://www.python.org/ftp/python/3.9.6/Python-3.9.6.tar.xz /tmp/makbet/examples/03.toolchain-advanced/python/Python-3.9.6.tar.xz";"TERMINATED";"2020-09-01 00:15:54.013506918";
"9";"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/examples/lib/tasks/common/extract-zip-file";"/tmp/makbet/examples/03.toolchain-advanced/doxygen/Release_1_9_2.zip /tmp/makbet/examples/03.toolchain-advanced/doxygen/";"STARTED";"2020-09-01 00:15:29.931055777";
"9";"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/examples/lib/tasks/common/extract-zip-file";"/tmp/makbet/examples/03.toolchain-advanced/doxygen/Release_1_9_2.zip /tmp/makbet/examples/03.toolchain-advanced/doxygen/";"TERMINATED";"2020-09-01 00:15:30.120768822";
